"Grantmaker.Name","Grantmaker.State","Recipient.Name","Recipient.City","Recipient.State.Country","Primary.Subject","Year.Authorized","Grant.Amount","Support.Strategies","Description"
"Prevent Cancer Foundation","VA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,25000,"Program support","Support for outreach."
"Trott Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,25000,"","General welfare"
"The Rodney Fund","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,25000,"","General funding 501(C)3"
"Alan Jay and Sue E Kaufman Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Community improvement ",2019,20000,"","To support the community."
"The Kirk Gibson Foundation for Parkinson's","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,20000,"","Parkinson&#039;s support"
"Share the Dough","CA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,20000,"","Programs support"
"Kirk Gibson Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,20000,"","Parkinson&#039;s research"
"Mcpc Family Charities","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,20000,"","To further exempt purposes"
"Racing for Kids C/o J Patrick Wright","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,20000,"General support","General support"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Graduate and professional education ",2019,16650,"Awards, prizes and competitions","MULTIPLE GRANTS AWARDED"
"United Jewish Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,16480,"Research","To support medical research"
"Grand Haven Area Community Foundation Inc","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,16250,"General support","General operating support"
"The Samuel L Westerman Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,15000,"","Charitable"
"Peter and Joan Secchia Family Inc","MI","Spectrum Health Foundation","Grand Rapids","MI","Nursing care ",2019,15000,"","Nurse Navigator program support"
"Springview Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Pediatrics ",2019,15000,"","Pediatric onclogy child life progra"
"Donor Advised Charitable Giving, Inc. (dba: DAFgiving360)","CO","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,13950,"","Health"
"THE GREENVILLE AREA COMMUNITY FOUNDATION","MI","Spectrum Health United Memorial Foundation","Greenville","MI","Community health care ",2019,13730,"","Various"
"University of Pittsburgh","PA","Corewell Health","Grand Rapids","MI","Community health care ",2019,13350,"","Research- subcontract"
"June and Cecil McDole Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,12500,"","Medical research"
"Donor Advised Charitable Giving, Inc. (dba: DAFgiving360)","CO","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,12250,"","Health"
"John W Blodgett Irrevocable Trust","TX","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,11446,"General support","Unrestricted general"
"Raymond James Charitable Endowment Fund","FL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,11250,"General support","General use"
"Fremont Area Community Foundation","MI","Spectrum Health Foundation","Reed City","MI"," ",2019,10500,"","Susan P. Wheatlake Regional Cancer Center Wellness Path"
"American Heart Association, Inc.","TX","Corewell Health","Grand Rapids","MI","Community health care ",2019,10000,"","EQUIPMENT UPGRADE"
"The Pearson Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,10000,"","Pediatric rehabilitation"
"Roy H and Natalie C Roberts Family Foundation","IL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,10000,"General support","General fund"
"National Philanthropic Trust","PA","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,10000,"","Health"
"SOUTHEAST VIRGINIA COMMUNITY FOUNDATION","VA","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,10000,"","Health &amp; human"
"Gerson Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,10000,"General support","General support"
"Seizert Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,10000,"General support","General support"
"Leslie Tassell Foundation DBA Tassell-Wisner-Bottrall Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,10000,"General support","General operating budget"
"Beatrice & Reymont Paul Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,10000,"","Furtherance of recipients purposes"
"Morgan Stanley Global Impact Funding Trust Inc","IN","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,10000,"General support","Unrestricted general support"
"Hastings Mutual Insurance Company Charitable Foundation","MI","Spectrum Health United","Greenville","MI","Maternal and perinatal health ",2019,10000,"","To support Medicaid beneficianes to promote healthy pregnancies. Positive birth outcomes and Infant health and development"
"The Fraternal Order of Eagles Foundation","OH","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,9280,"","Equipment/supplies"
"The Korff Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,9000,"","Charitable"
"Mayo Clinic","MN","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2019,8516,"","Support charitable programs"
"Fremont Area Community Foundation","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2019,8463,"","Susan P. Wheatlake Regional Cancer Center Wellness Path"
"Bh Grand River Southfield Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,8000,"","DONATION GIVEN TO RELATED 501(C)(3) ORGANIZATION TO HELP SUPPORT THEIR MISSION"
"Jacob Best Foundation","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,8000,"General support","General support"
"Douglas & Sandra Dekock Family Foun C/o Douglas Dekock","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,8000,"","Non-profit"
"Others First Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,8000,"",""
"Louis and Helen Padnos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,7000,"","PROGRAM SERVICE"
"The Chase and Luke Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,6500,"","Nicu unit"
"Mary and George Herbert Zimmerman Foundation (att Joan C Skrzyniarz)","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,6000,"","Charitable"
"Grand Haven Area Community Foundation Inc","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,5500,"","Auto show charity spectacular"
"Murray C and Ina C Pitt Charitable Trust","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,5150,"","Charity"
"Robert Graham Hospital Fund Utgf","TX","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,5142,"General support","Unrestricted general"
"Ferrantino Charitable Foundation Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Family counseling ",2019,5000,"","Center for exceptional families"
"Coleman Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,5000,"","Charitable donation"
"Albemarle Foundation","NC","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,5000,"","Program assistance"
"Jerry & Marcia Tubergen Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,5000,"General support","Unrestricted Grant to General Fund"
"James & Almeda Vander Waals Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,4000,"","Donation for operations"
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Gift distribution ",2019,4000,"","Holiday celebrations for children hospitalized during the 2019 holiday season."
"Donald and Mary Kosch Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,4000,"","Wine for the spirits"
"The Fruehauf Foundation","TX","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Welfare ",2019,4000,"General support","Public welfare operating support"
"The Scott and Barbara Greene Foundation","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2019,3500,"","Health Care"
"Sieg Dunlap Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,3000,"","Medical"
"The Fred a & Barbara M Erb Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,3000,"",""
"Joseph Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,2500,"","CONTRIBUTION"
"River City Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,2500,"General support","GENERAL SUPPORT"
"The D Dan and Betty Kahn Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,2500,"General support","General charitable support"
"Johns Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,2000,"","Charitable"
"The Samuel L Westerman Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,2000,"","Charitable"
"The Samuel L Westerman Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,2000,"","Charitable"
"The Gornick Fund","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Children's hospital care ",2019,2000,"","Expansion of the children&#039;s hospital"
"Kimberly a Foundation Corp","FL","Spectrum Health Foundation","Grand Rapids","MI","Specialty hospital care ",2019,2000,"","Pediatric Oncology Support Program"
"Trugreen Foundation","TN","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,2000,"","Children&#039;s Health"
"Ims Charitable Trust C/o Sovereign Partner","NY","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,1500,"","Charitable support"
"Woll-Yellin Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Health ",2019,1000,"","EDUC, SCIENCE, HEALTH, CHARITY"
"Mervyn H & Leslie D Sternberg Foundation","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Diabetes ",2019,1000,"Research","SUPPORT MEDICAL EDUC RESEARCH &amp; COMMUNITY INITIATIVES"
"Haggarty Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,1000,"Annual campaigns","Annual Appeal"
"Mr & Mrs Wayne B Lyon Foundation","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,1000,"General support","Operating Fund"
"The Dennis and Nancy Gershenson Family Foundaton","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,1000,"General support","General"
"Douglas and Margo Yellin Woll Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Health ",2019,1000,"","Educ, science, health, charity"
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Cancers ",2019,1000,"","Spectrum healths brain &amp; spine tumor program"
"Dryden Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,1000,"","Charitable"
"Henry E & Consuelo S Wenger Foundation Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,1000,"Product and service delivery;Equal access;Advocacy;Commodity provision;Systems reform;Research and evaluation;Public engagement and education","Provide qualityhospital carememorial"
"Morley Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,1000,"","Health"
"United Health Foundation","MN","Spectrum Health United","Greenville","MI","Health ",2019,1000,"","United health foundation donation for spectrum health foundation"
"Sacred Family Causes Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,600,"","Charitable"
"Steven and Kathryn Bandstra Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,600,"General support","General"
"Essendant Charitable Foundation Attn Tax","IL","Corewell Health","Grand Rapids","MI","Community health care ",2019,580,"",""
"Patrick and Christie Scoggin Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,500,"General support","Unrestricted"
"Robert and Sharon Grooters Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,100,"General support","GENERAL OPERATIONS"
